Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189383,0.00029700014,0.02075998,-0.5882192473341986,693.6428571428571,-0.5882192391769162
20000,1.4186087,0.00029098478,0.0090840915,1.4836126316286944,310.5483870967742,1.4836126378016365
30000,1.4171624,0.0002849957,0.07616874,1.5330730241552972,164.06451612903226,1.5310908093147713
40000,1.4151351,0.00027899738,0.17390466,1.6089480092277235,130.93243243243242,1.6095485442876816
50000,1.4130152,0.00027299928,0.29230767,1.4184167411242006,105.18279569892474,1.41841675164879
60000,1.4101207,0.00026700806,0.34122536,1.522879938224545,113.19540229885058,1.5228799340026131
70000,1.4076972,0.0002610014,0.41228864,1.729461474096053,120.84146341463415,1.7222765562710938
80000,1.4054857,0.0002549921,0.5032459,2.29743397332215,124.76923076923077,2.2976112859913065
90000,1.4033873,0.00024900187,0.55735356,2.944380442845663,134.23287671232876,2.9443804548211294
100000,1.4013042,0.00024300658,0.73593646,3.767552352656858,144.19117647058823,3.7675523762317265
110000,1.3987375,0.00023699697,0.9084143,4.250144149618679,151.58461538461538,4.250144163691081
120000,1.3959485,0.00023099444,1.0066829,5.338612100980592,172.78947368421052,5.337526960032327
130000,1.3941838,0.00022501119,1.1918066,7.670646346676464,217.95555555555555,7.512338703870773
140000,1.3926525,0.00021901015,1.3771441,12.569387850683817,309.44827586206895,12.567849011222522
150000,1.3906453,0.00021299194,1.5915538,33.09205750023466,722.8571428571429,33.09205758358751
160000,1.3889627,0.00020698711,1.7781178,53.82996004160668,1133.25,53.829959724098444
170000,1.3877136,0.00020099478,1.9503748,60.015932577619324,1218.0,60.01593265599675
180000,1.3863738,0.00019500249,2.1599412,99.3395461346123,1864.8,99.33954671621322
190000,1.3846473,0.00018899905,2.3254333,105.99613930168125,1859.4,105.99613955020905
200000,1.3829087,0.00018299499,2.514732,97.3183037663388,1651.8,97.31830345094204
210000,1.3814311,0.00017699348,2.692912,90.13299915671894,1467.625,90.13299912214279
220000,1.3799577,0.00017099918,2.9253101,178.30534736942354,2657.0,178.30534668266773
230000,1.378386,0.00016499693,3.1424603,124.11846943807905,1862.6,124.11846945881844
240000,1.3768988,0.00015898731,3.3498087,102.28975972831832,1513.0,102.28975970745087
250000,1.3756679,0.00015298661,3.5673714,139.64544740494844,1945.8333333333333,139.64544631540775
260000,1.3744797,0.0001469985,3.8581016,166.82924921686424,2275.25,166.82924985140562
270000,1.3734956,0.00014101269,4.145802,239.03930765361292,3280.3333333333335,239.0393067995707
280000,1.3726498,0.00013499922,4.465461,135.28977203650356,1788.0,135.28977249264716
290000,1.3716725,0.00012899264,4.60232,184.74972868540937,2442.4,184.74972861409188
300000,1.3710315,0.000123005,4.713458,124.78362420945923,1611.2,124.78362451046705
